Institution Name,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Institution Name_clean,Institution Name_matched,Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score,School Name_clean
Wake Forest University,M,5.1,6.3,100.0,8.6,3.2,10.9,42.8,15.4,1.7,wake forest university,wake forest university,54,Wake Forest University,102.0,80.6,74.9,wake forest university
"University of Colorado, Denver ",L,8.2,6.1,100.0,3.6,3.4,8.1,45.7,5.6,3.8,university of colorado denver,university of denver,157,University of Denver,207.0,70.2,67.0,university of denver
"University of Maryland, Baltimore County",L,10.2,6.8,14.1,13.5,49.8,25.8,45.0,4.5,57.7,university of maryland baltimore county,university of marylandbaltimore county,321,University of Maryland-Baltimore County,355.0,62.1,60.0,university of marylandbaltimore county
Texas Tech University,XL,10.9,10.6,6.2,11.3,36.6,9.6,70.5,13.7,55.4,texas tech university,texas tech university,438,Texas Tech University,525.0,58.2,53.8,texas tech university
The New School,M,15.2,8.2,41.1,2.6,5.7,92.3,19.6,13.5,1.0,new school,new school,483,The New School,445.0,56.7,56.7,new school
New Jersey Institute of Technology (NJIT),M,4.8,6.7,10.2,30.4,31.5,52.9,29.1,5.1,26.5,new jersey institute of technology,new jersey institute of technology,198,New Jersey Institute of Technology,282.0,67.2,62.9,new jersey institute of technology
University of Kentucky,L,11.1,9.8,15.3,23.5,12.9,3.3,75.4,13.9,10.1,university of kentucky,university of kentucky,328,University of Kentucky,397.0,61.9,58.7,university of kentucky
Syracuse University,L,12.9,8.7,11.6,10.6,5.8,39.3,55.5,42.7,11.6,syracuse university,syracuse university,136,Syracuse University,142.0,71.9,72.1,syracuse university
University of Oregon,L,18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3,16.1,university of oregon,university of oregon,290,University of Oregon,283.0,63.1,62.8,university of oregon
Clarkson University,S,1.3,1.9,13.5,41.8,48.5,15.0,30.6,7.9,1.2,clarkson university,clarkson university,234,Clarkson University,269.0,65.5,63.7,clarkson university
Kansas State University ,L,8.2,6.7,10.3,22.1,10.1,4.6,74.9,13.5,10.2,kansas state university,kansas state university,384,Kansas State University,636.0,59.8,50.6,kansas state university
Swarthmore College,S,3.4,2.4,88.8,11.7,8.7,21.6,12.3,15.2,1.0,swarthmore college,swarthmore college,23,Swarthmore College,16.0,85.7,89.2,swarthmore college
University at Albany SUNY,L,8.1,4.5,5.4,33.9,3.9,7.2,66.0,4.2,13.2,university at albany suny,university at albany,314,University at Albany,341.0,62.2,60.5,university at albany
University of Mississippi,L,4.2,2.0,83.0,5.5,6.1,2.9,58.0,3.6,1.7,university of mississippi,university of mississippi,303,University of Mississippi,370.0,62.6,59.3,university of mississippi
Virginia Commonwealth University,L,7.1,8.5,38.8,12.8,9.7,3.2,73.5,8.2,8.5,virginia commonwealth university,virginia commonwealth university,414,Virginia Commonwealth University,464.0,58.9,55.8,virginia commonwealth university
Louisiana State University,XL,9.5,6.7,7.8,12.9,8.6,3.8,52.3,18.8,52.8,louisiana state university,louisiana state university and agricultural mechanical college,401,Louisiana State University and Agricultural & Mechanical College,492.0,59.5,55.1,louisiana state university and agricultural mechanical college
Michigan Technological University,M,4.8,3.7,27.1,28.6,11.4,11.1,52.1,3.1,1.9,michigan technological university,michigan technological university,412,Michigan Technological University,444.0,59.0,56.8,michigan technological university
"University of Alabama, Birmingham",L,5.8,4.2,56.0,16.8,,,54.5,1.7,2.0,university of alabama birmingham,university of alabama at birmingham,449,University of Alabama at Birmingham,495.0,58.0,55.0,university of alabama at birmingham
Worcester Polytechnic Institute,M,3.5,5.2,17.4,26.2,42.0,23.5,25.6,8.3,1.9,worcester polytechnic institute,worcester polytechnic institute,162,Worcester Polytechnic Institute,139.0,69.7,72.4,worcester polytechnic institute
Auburn University,L,7.1,7.7,7.6,17.2,27.6,6.0,54.7,16.4,10.9,auburn university,auburn university,188,Auburn University,231.0,68.0,65.5,auburn university
Clark University,S,2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6,6.5,clark university,clark university,155,Clark University,170.0,70.3,69.5,clark university
Clemson University,L,7.3,7.0,12.6,15.2,11.6,5.2,78.5,7.7,12.3,clemson university,clemson university,142,Clemson University,157.0,71.7,70.9,clemson university
St. Louis University,L,4.4,2.6,53.2,13.5,12.7,11.0,28.7,9.0,1.7,st louis university,saint louis university,159,Saint Louis University,154.0,70.0,71.1,saint louis university
The University of Alabama,XL,10.0,20.3,5.3,11.9,5.3,2.5,54.9,10.7,6.7,university of alabama,university of alabama,264,The University of Alabama,291.0,64.4,62.3,university of alabama
University of Denver,M,5.4,7.4,42.2,7.8,7.7,5.8,32.7,25.6,9.9,university of denver,university of denver,157,University of Denver,207.0,70.2,67.0,university of denver
Baylor University,L,6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6,4.0,baylor university,baylor university,158,Baylor University,191.0,70.2,67.8,baylor university
Binghamton University SUNY,L,7.0,5.1,5.7,15.8,10.8,10.3,44.2,3.9,3.1,binghamton university suny,binghamton university,115,Binghamton University,140.0,73.3,72.3,binghamton university
Brigham Young University,XL,7.5,7.0,4.8,10.4,1.3,3.0,52.4,22.2,3.8,brigham young university,brigham young university,265,Brigham Young University,400.0,64.4,58.6,brigham young university
Fordham University ,L,6.8,8.3,14.8,5.4,6.3,13.9,23.9,29.1,1.4,fordham university,fordham university,113,Fordham University,109.0,73.4,74.5,fordham university
George Mason University,XL,8.8,4.8,12.4,9.2,10.0,15.3,60.9,11.9,22.5,george mason university,george mason university,327,George Mason University,340.0,62.0,60.5,george mason university
Howard University,M,7.0,9.2,38.9,3.0,1.1,4.1,31.9,18.8,1.1,howard university,howard university,262,Howard University,325.0,64.4,61.2,howard university
Loyola University Chicago,L,8.5,17.3,23.2,7.0,6.5,3.0,39.5,13.2,1.9,loyola university chicago,loyola university chicago,227,Loyola University Chicago,181.0,65.8,68.7,loyola university chicago
Ohio University,L,8.1,5.5,5.7,10.5,2.4,3.3,41.4,16.9,2.7,ohio university,ohio universitymain campus,454,Ohio University-Main Campus,463.0,57.8,55.8,ohio universitymain campus
Rochester Institute of Technology (RIT),L,7.2,10.7,19.2,6.3,4.7,16.1,36.8,9.0,34.5,rochester institute of technology,rochester institute of technology,360,Rochester Institute of Technology,377.0,60.6,59.2,rochester institute of technology
San Diego State University,XL,5.4,3.0,3.3,14.3,5.2,3.5,68.7,15.8,9.4,san diego state university,san diego state university,424,San Diego State University,476.0,58.7,55.6,san diego state university
Southern Methodist University,M,4.9,3.6,29.3,7.2,6.8,8.7,30.2,38.8,2.4,southern methodist university,southern methodist university,99,Southern Methodist University,108.0,74.4,74.6,southern methodist university
University of Arkansas Fayetteville ,L,5.8,3.5,6.3,11.9,4.8,3.0,51.6,15.4,3.8,university of arkansas fayetteville,university of arkansas,335,University of Arkansas,376.0,61.6,59.2,university of arkansas
University of North Carolina at Charlotte,L,5.1,5.8,5.0,13.4,8.7,6.2,65.0,7.8,4.2,university of north carolina at charlotte,university of north carolina at charlotte,400,University of North Carolina at Charlotte,507.0,59.5,54.6,university of north carolina at charlotte
University of Rhode Island ,L,5.6,3.5,6.7,16.2,5.2,2.6,48.9,11.8,54.1,university of rhode island,university of rhode island,326,University of Rhode Island,360.0,62.0,59.8,university of rhode island
